Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Etiopía,ETH,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,,31.54608221,31.63060598,28.98771352,29.09946424,30.29281055,27.0869723,23.47426268,22.82669908,20.8753244,16.8789127,16.66267677
Unión Europea,EUU,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,38.72401827,41.53160744,41.93516907,41.4496581,41.9116129,42.72979234,42.31168759,44.08199566,45.32914453,45.89272987,42.87683718,46.87306088
Frágiles y situaciones de conflicto afectados,FCS,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,26.68801832,26.37171791,25.27558058,26.9912532,26.92023242,22.59839092,22.21064949,22.18472184,25.99159627,26.98160267,25.0091287,
Finlandia,FIN,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,37.05000983,39.67918868,40.36222188,39.07625746,37.63128513,35.97558956,36.08804789,37.50359035,39.72236024,39.72574754,35.52049413,38.69823748
Fiji,FJI,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,63.79462676,65.19494168,64.17531189,69.4764709,58.47803047,52.35191362,50.52636804,50.94452831,55.52371511,58.43218043,43.17110048,49.94088936
Francia,FRA,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,28.07949124,30.36923895,30.49903198,30.39931721,30.81211202,31.15907156,30.8526052,32.01321411,32.72428539,32.54941778,29.89378425,32.01875813
Islas Feroe,FRO,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,50.66882078,53.55290224,64.94176028,58.90000998,52.96205766,52.64132005,50.16656516,51.04794542,54.20125592,52.81498266,49.26350245,
Micronesia (Estados Federados de),FSM,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,82.123302,82.19035816,81.47112578,82.86392421,74.03154434,78.23146963,72.98082977,71.06329234,65.37673136,73.38548063,66.37777359,71.5031408
Gabón,GAB,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,31.49417035,28.75400521,31.3924675,33.27763027,28.99943662,27.91777295,26.09803377,24.84198647,22.73752121,21.99701622,22.7494786,20.46506757
Reino Unido,GBR,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,30.0642292,31.7181878,31.1687014,31.0808045,29.87401941,28.73147748,29.85850708,31.30907144,31.80782568,31.92229091,28.06670074,28.24625581
Georgia,GEO,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,49.94455035,52.85905482,55.42598789,53.88013192,56.84038041,57.90658612,56.02606318,57.51246271,61.19701162,63.78087517,56.58430343,58.62560251
Ghana,GHA,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,45.90109781,49.3588453,52.80881695,35.31853851,35.60465979,42.68956631,36.6837607,36.67149013,34.50362246,39.37520241,17.79581556,28.52239391
Gibraltar,GIB,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,,,,,,,,,,,,
Guinea,GIN,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,43.20536258,53.35243189,53.53693264,53.95582379,50.08345339,50.94585499,82.46795119,56.59133532,48.77701601,42.50916325,41.0431315,33.1642387
Gambia,GMB,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,26.34470015,25.78029758,27.85899088,26.482755,36.42103533,33.34117199,30.10989187,36.52959988,41.38268255,34.4282546,37.64871907,45.45673697
